kasallik_id,kasallik_kodi,o'simlik_turi,nomi,ilmiy_nomi,jiddiylik,tavsif,belgilari,davolash,o'g'itlar,oldini_olish
1,pomidor_barg_dog,pomidor,"Pomidor bargi dog' kasalligi","Septoria lycopersici","O'rta","Bu kasallik pomidor o'simliklarining barglarida qoramtir-qo'ng'ir doglarni hosil qiladi. Kasallik barglarning pastki qismidan boshlanib, asta-sekin yuqori qismiga tarqaladi.","Barglarda kichik (2-3 mm) dumaloq qoramtir-qo'ng'ir dog'lar paydo bo'ladi. Dog'larning markazi kulrang, chekkasi esa to'q rangda bo'ladi. Zararlangan barglar sarg'ayib, qurib qoladi.","1. Kasallangan barglarni darhol olib tashlang. 2. Mis tarkibli fungitsidlar bilan ishlov bering (Bordeaux suyuqligi). 3. Sug'orishni kamaytirib, barglarni ho'llamaslikka harakat qiling.","Kalsiy nitrat,Superfosfat,Kaliy sulfat","Ekin aylantirishni qo'llang, pomidorlarni har yili bir joyda ekmang. Tomchilatib sug'orish usulidan foydalaning."
2,pomidor_fitoftoroz,pomidor,"Pomidor fitoftorozi","Phytophthora infestans","Juda jiddiy","Fitoftoroz - pomidor va kartoshkaning eng xavfli kasalliklaridan biri. Bu kasallik namlik yuqori bo'lganda tez tarqaladi va butun hosilni yo'q qilishi mumkin.","Barglarda to'q-yashil yoki qo'ng'ir dog'lar paydo bo'ladi. Nam ob-havoda bargning pastki qismida oq mog'or paydo bo'ladi. Poyalar qorayib, mevalar qattiq qo'ng'ir dog'lar bilan qoplanadi.","1. Zararlangan barglarni kesib tashlang. 2. Mis tarkibli fungitsidlar (Bordeaux suyuqligi, mis oksixlorid) bilan ishlov bering. 3. Yomg'irdan keyin darhol ishlov bering.","Kaliy fosfit,Mis oksixlorid,Bor preparati","Kasallikka chidamli navlarni tanlang. Pomidor va kartoshkani bir-biriga yaqin joylashtirmang. Barglarni ho'llamasdan, ildiz atrofidan sug'oring."
3,pomidor_fuzarioz,pomidor,"Pomidor fuzariozi","Fusarium oxysporum","Jiddiy","Fuzarioz - tuproqda yashovchi zamburug' qo'zg'atadigan kasallik. U pomidor o'simligining tomirlariga kirib, suv va ozuqa moddalar o'tishini to'sib qo'yadi.","Pastki barglarning sarg'ayishi va so'lishi. O'simlik bir tomonga egilib qolishi. Poyaning ichki qismida jigarrang chiziqlar paydo bo'lishi. O'simlik sekin-asta qurib qoladi.","1. Zararlangan o'simliklarni butunlay yo'q qiling. 2. Trichoderma tarkibli biologik preparatlar qo'llang. 3. Tuproqni dezinfeksiya qiling (formalin, qaynoq suv).","Trichoderma preparati,Kompost choy,Mikroelementlar kompleksi","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Pomidorni har yili bir joyda ekmang. Tuproqni quyosh bilan zararsizlantiring."
4,pomidor_bakterioz,pomidor,"Pomidor bakterial dog'lanishi","Xanthomonas campestris","Jiddiy","Bakterial dog'lanish - bakteriyalar qo'zg'atadigan kasallik bo'lib, barglarda, poyalarda va mevalarda dog'lar paydo qiladi. Kasallik nam ob-havoda tez tarqaladi.","Barglarda kichik, qoramtir-yashil, suvga to'yingan dog'lar. Keyinchalik dog'lar quriydi va qo'ng'ir tus oladi. Mevalarda qora, qattiq dog'lar paydo bo'ladi.","1. Zararlangan qismlarni kesib tashlang. 2. Mis tarkibli preparatlar bilan ishlov bering. 3. Antibakterial preparatlar qo'llang. 4. Barglarni ho'llamasdan, ildiz atrofidan sug'oring.","Mis sulfat,Streptomitsin,Aminokislotali o'g'itlar","Kasallikka chidamli navlarni tanlang. Pomidor va boshqa ituzumdoshlar orasidagi masofani ko'paytiring. O'simliklarni ertalab sug'oring."
5,bodring_un_shudring,bodring,"Bodring un-shudring kasalligi","Podosphaera xanthii","Jiddiy","Un-shudring - zamburug' qo'zg'atadigan kasallik bo'lib, bodring barglarida oq kukun kabi qoplam hosil qiladi. Kasallik issiq va quruq ob-havoda tez tarqaladi.","Barglarda oq kukun kabi qoplam paydo bo'ladi, keyinchalik barglar sarg'ayib qurib qoladi. Qoplam asta-sekin bargning butun yuzasini egallaydi va o'simlikning poyalari, gullariga ham o'tadi.","1. Biostimulyatorlar bilan ishlov bering. 2. Maxsus fungitsidlar (oltingugurt preparatlari) qo'llang. 3. Zararlangan qismlarni kesib tashlang.","Biostimulyatorlar,Kaliy sulfat,Magniy sulfat","Namlini nazorat qiling, o'simliklarni ertalab sug'oring. Kasallikka chidamli navlarni ekishga harakat qiling. Ekin almashtirishni qo'llang."
6,bodring_fuzarioz,bodring,"Bodring fuzariozi","Fusarium oxysporum f.sp. cucumerinum","Jiddiy","Fuzarioz - tuproqda yashaydigan zamburug' qo'zg'atadigan kasallik. Bu kasallik o'simlik tomirlari orqali kirib, ozuqa moddalar va suv o'tishini to'sib qo'yadi.","O'simlik so'lib qoladi, ayniqsa issiq kunlarda. Barglar sarg'ayadi va qurib qoladi. Poyaning pastki qismida qo'ng'ir dog'lar paydo bo'ladi. O'simlik qurib qoladi.","1. Kasallangan o'simliklarni yo'q qiling. 2. Trichoderma tarkibli biologik preparatlar qo'llang. 3. Tuproqni dezinfeksiya qiling.","Trichoderma preparati,Humat preparatlari,Mikroelementlar kompleksi","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Bodringni har yili bir joyda ekmang. Tuproqni quyosh bilan zararsizlantiring."
7,bodring_peronosporoz,bodring,"Bodring soxta un-shudringi (peronosporoz)","Pseudoperonospora cubensis","Juda jiddiy","Soxta un-shudring - zamburug' qo'zg'atadigan kasallik bo'lib, namlik yuqori bo'lganda tez tarqaladi. Kasallik barglarning pastki qismida tarqalib, butun o'simlikka zarar yetkazadi.","Barglarda burchakli sariq-yashil dog'lar paydo bo'ladi. Dog'lar qo'ng'ir tus oladi. Barglarning pastki qismida kulrang-binafsha mog'or hosil bo'ladi. Barglar qurib qoladi.","1. Zararlangan qismlarni kesib tashlang. 2. Mis tarkibli fungitsidlar bilan ishlov bering. 3. Fungitsidlarni almashtirgan holda qo'llang.","Mis oksixlorid,Kaliy fosfit,Organik o'g'itlar","Kasallikka chidamli navlarni tanlang. O'simliklarni pishiq qilish maqsadida kaliyli o'g'itlar qo'llang. Havo aylanishini ta'minlang."
8,bodring_bakterioz,bodring,"Bodring angular bakterial dog'lanishi","Pseudomonas syringae pv. lachrymans","O'rta","Angular bakterial dog'lanish - bakteriyalar qo'zg'atadigan kasallik bo'lib, barglarda burchakli dog'lar hosil qiladi. Kasallik yuqori namlikda tez tarqaladi.","Barglarda burchakli, suvga to'yingan dog'lar paydo bo'ladi. Dog'lar tomirlar bilan chegaralangan. Quriganda, dog'lar ochiq jigarrang tus oladi va barglar teshiladi.","1. Zararlangan qismlarni kesib tashlang. 2. Mis tarkibli preparatlar bilan ishlov bering. 3. Streptomitsin tarkibli preparatlar qo'llang.","Mis oksixlorid,Streptomitsin,Aminokislotali o'g'itlar","Kasallikka chidamli navlarni tanlang. Tomchilatib sug'orish usulidan foydalaning. O'simliklarni tegishli oraliqda ekib, havo aylanishini ta'minlang."
9,olma_qora_chirish,olma,"Olmali qora chirish","Botryosphaeria obtusa","Jiddiy","Qora chirish olma daraxtlarining eng xavfli kasalliklaridan biri hisoblanadi. Kasallik daraxtning barcha qismlariga ta'sir qilishi mumkin, lekin asosan mevalarda ko'rinadi.","Mevalarda qora, qattiq dog'lar paydo bo'ladi, keyinchalik bu dog'lar kattalashib mevaning katta qismini qamrab oladi. Zararlangan mevalar qorayib, qurib, daraxtda osilib qoladi.","1. Zararlangan mevalarni olib tashlang. 2. Bog'ni sanitariya qiling. 3. Mis tarkibli preparatlar bilan ishlov bering. 4. Kuz va bahor oylarida profilaktik ishlov bering.","Aminokislotali o'g'itlar,Mis kuporosi,Biologik fungitsidlar","Kuzda barcha tushgan barglarni yig'ib oling, daraxtlarni butang. Daraxtlarni o'z vaqtida kesib turing. Kasallikka chidamli navlarni tanlang."
10,olma_parsha,olma,"Olma parshasi","Venturia inaequalis","Jiddiy","Parsha - zamburug' qo'zg'atadigan kasallik bo'lib, olma barglarini, mevalarini va yosh novdalarini zararlaydi. Bahor va yoz boshida namlik yuqori bo'lganda tez tarqaladi.","Barglarda va mevalarda yashil-qo'ng'ir, keyinchalik qoramtir dog'lar paydo bo'ladi. Zararlangan joylar qo'pol, yorilgan ko'rinishga ega bo'ladi. Mevalar shakli buziladi.","1. Fungitsidlar bilan bahor va yoz boshida muntazam ishlov bering. 2. Daraxtlarni butash orqali havo aylanishini ta'minlang. 3. Zararlangan qismlarni kesib tashlang.","Mis oksixlorid,Triazol fungitsidlar,Kaliy fosfat","Kuzda tushgan barglarni yig'ib oling. Daraxtlarni to'g'ri butang. Kasallikka chidamli navlarni tanlang. O'z vaqtida profilaktik ishlov bering."
