o'simlik_id,tur,nomi,ilmiy_nomi,turi_guruh,tavsif,parvarish,foydalanish,mintaqa
1,pomidor,Pomidor,Solanum lycopersicum,sabzavot,"Pomidor - Solanaceae oilasiga mansub, qizil yoki sariq mevali sabzavot o'simligi.","Quyoshli joylarda o'sadi, mo''tadil sug'orishni talab qiladi, azotli o'g'itlar zarur.","Salatlarda, pishirishda, sooslarda keng ishlatiladi. C vitamini va likopin manbai.","O'zbekiston, Markaziy Osiyo"
2,bodring,Bodring,Cucumis sativus,poliz ekinlari,"Bodring - Cucurbitaceae oilasiga mansub, yashil mevali poliz ekinlaridan biri.","Quyoshli va issiq sharoitni sevadi, ko'p suv talab qiladi, organik o'g'itlar zarur.","Salatlarda, tuzlanadi, marinadlanadi. Tanada suvni yaxshi saqlaydi, kaloriyasi kam.","O'zbekiston, Markaziy Osiyo"
3,olma,Olma,Malus domestica,mevali daraxt,"Olma - Rosaceae oilasiga mansub, eng keng tarqalgan mevali daraxtlardan biri.","Quyoshli joylarda o'sadi, quruqchilikka chidamli, har yili kesilishi kerak.","Yangi holda iste'mol qilinadi, pishirishda, sharbat tayyorlashda ishlatiladi. C vitamini va antioksidantlar manbai.","O'zbekiston, Markaziy Osiyo"
4,kartoshka,Kartoshka,Solanum tuberosum,sabzavot,"Kartoshka - Solanaceae oilasiga mansub, yerosti tuganaklari iste'mol qilinadigan o'simlik.","Salqin iqlimni afzal ko'radi, yumshoq tuproqni talab qiladi, ko'p azot zarur.","Pishirib, qovurib, qaynatib iste'mol qilinadi. Kraxmal va kaliy manbai.","O'zbekiston, Markaziy Osiyo"
5,galla,G'alla,Triticum aestivum,don ekinlari,"G'alla - Poaceae oilasiga mansub, don ekinlaridan biri, asosan non tayyorlashda ishlatiladi.","Mo''tadil iqlimni sevadi, suvsizlikka chidamli, azot, fosfor va kaliy kerak.","Un, non, makaron mahsulotlari tayyorlashda qo'llaniladi. Oqsil va uglevod manbai.","O'zbekiston, Markaziy Osiyo"
6,uzum,Uzum,Vitis vinifera,mevali daraxt,"Uzum - Vitaceae oilasiga mansub, chirmashib o'suvchi ko'p yillik o'simlik.","Quyoshli joylarda o'sadi, muntazam kesilishi kerak, ohakli tuproqni sevadi.","Yangi holda iste'mol qilinadi, sharob, mayiz tayyorlashda ishlatiladi. Kaliy va antioksidantlar manbai.","O'zbekiston, Markaziy Osiyo"
7,lavlagi,Lavlagi,Beta vulgaris,sabzavot,"Lavlagi - Amaranthaceae oilasiga mansub, to'q qizil rangdagi ildizmevali o'simlik.","Salqinroq iqlimni afzal ko'radi, namlikni sevadi, kaliyli o'g'itlar zarur.","Salatlarda, pishirishda, sharbat tayyorlashda ishlatiladi. Temir va folat manbai.","O'zbekiston, Markaziy Osiyo"
8,shaftoli,Shaftoli,Prunus persica,mevali daraxt,"Shaftoli - Rosaceae oilasiga mansub, shirali mevali daraxt.","Quyoshli va issiq sharoitni sevadi, sovuqqa sezgir, yaxshi drenajga muhtoj.","Yangi holda iste'mol qilinadi, kompot, jam tayyorlashda ishlatiladi. A va C vitaminlari manbai.","O'zbekiston, Markaziy Osiyo"
9,nok,Nok,Pyrus communis,mevali daraxt,"Nok - Rosaceae oilasiga mansub, noksimon mevali daraxt.","Quyoshli joylarda o'sadi, namlikni sevadi, fosforli o'g'itlar kerak.","Yangi holda iste'mol qilinadi, kompot, jam tayyorlashda ishlatiladi. Kaliy va tolalar manbai.","O'zbekiston, Markaziy Osiyo"
10,piyoz,Piyoz,Allium cepa,sabzavot,"Piyoz - Amaryllidaceae oilasiga mansub, piyozli sabzavot turi.","Quyoshli joylarda o'sadi, muntazam sug'orishni talab qiladi, azotli o'g'itlar kerak.","Salatlarda, pishirishda keng ishlatiladi. Antioksidantlar va oltingugurt birikmalari manbai.","O'zbekiston, Markaziy Osiyo"
11,qalampir,Qalampir,Capsicum annuum,sabzavot,"Qalampir - Solanaceae oilasiga mansub, achchiq yoki shirin mevali sabzavot.","Issiq iqlimni sevadi, muntazam sug'orishga muhtoj, kaliyli o'g'itlar zarur.","Salatlarda, pishirishda, ziravor sifatida ishlatiladi. C vitamini manbai.","O'zbekiston, Markaziy Osiyo"
12,sabzi,Sabzi,Daucus carota,sabzavot,"Sabzi - Apiaceae oilasiga mansub, to'q zarg'aldoq rangdagi ildizmevali sabzavot.","O'rtacha quyosh, chuqur yumshoq tuproq va muntazam namlikni talab qiladi.","Salatlarda, pishirishda, sharbat tayyorlashda ishlatiladi. A vitamini va beta-karotin manbai.","O'zbekiston, Markaziy Osiyo"
13,karam,Karam,Brassica oleracea,sabzavot,"Karam - Brassicaceae oilasiga mansub, yaprog'i qalin, zich joylashgan sabzavot.","Salqin ob-havoni afzal ko'radi, namlikni sevadi, azot va fosfor zarur.","Salatlarda, pishirishda, marinad qilishda ishlatiladi. C vitamini va folat manbai.","O'zbekiston, Markaziy Osiyo"
14,baqlajon,Baqlajon,Solanum melongena,sabzavot,"Baqlajon - Solanaceae oilasiga mansub, to'q binafsha rangdagi mevali sabzavot.","Issiq iqlimni sevadi, qurg'oqchilikka chidamli, kaliyli o'g'itlar kerak.","Pishirishda, qovurishda ishlatiladi. Tolalar va antioksidantlar manbai.","O'zbekiston, Markaziy Osiyo"
