1,Crop,Growth Stage,Water Requirement and Duration
,,Germination,5-7 mm/day (5-10 days)
,,Tillering,4-6 mm/day (20-30 days)
2,Wheat,Stem Elongation,6-8 mm/day (25-30 days)
,,Flowering,8-10 mm/day (10-15 days)
,,Maturity,5-7 mm/day (20-25 days)
,,Germination,4-6 mm/day (5-7 days)
,,Vegetative,7-9 mm/day (30-40 days)
3,Corn,Tasseling,10-12 mm/day (5-7 days)
,,Grain Filling,8-10 mm/day (20-30 days)
,,Maturity,6-8 mm/day (10-15 days)
,,Seedling,3-5 mm/day (10-15 days)
,,Vegetative,6-8 mm/day (20-30 days)
4,Tomatoes,Flowering,7-9 mm/day (10-15 days)
,,Fruiting,8-10 mm/day (30-40 days)
,,Maturity,6-8 mm/day (5-10 days)
,,Germination,5-7 mm/day (7-10 days)
,,Vegetative,10-15 mm/day (30-45 days)
5,Rice,Flowering,5-7 mm/day (7-10 days)
,,Grain Filling,7-10 mm/day (30-40 days)
,,Maturity,7-9 mm/day (20-30 days)
,,Germination,5-7 mm/day (5-10 days)
,,Tillering,4-6 mm/day (20-30 days)
5,Barley,Stem Elongation,6-8 mm/day (25-30 days)
,,Flowering,8-10 mm/day (10-15 days)
,,Maturity,5-7 mm/day (20-25 days)
,,Germination,4-6 mm/day (5-10 days)
,,Vegetative,6-8 mm/day (30-45 days)
6,Soybeans,Flowering,7-9 mm/day (10-20 days)
,,Pod Development,8-10 mm/day (30-40 days)
7,Soybeans,Maturity,6-8 mm/day (20-30 days)
,,Sprouting,4-6 mm/day (10-15 days)
,,Vegetative,6-8 mm/day (30-40 days)
8,Potatoes,Tubering,8-10 mm/day (20-30 days)
,,Bulking,7-9 mm/day (30-40 days)
,,Maturity,5-7 mm/day (15-20 days)
,,Germination,4-6 mm/day (5-10 days)
,,Vegetative,6-8 mm/day (30-40 days)
9,Cotton,Flowering,7-9 mm/day (20-30 days)
,,Boll Formation,8-10 mm/day (40-50 days)
,,Maturity,6-8 mm/day (15-25 days)
,,Germination,4-6 mm/day (5-7 days)
,,Leaf Development,6-8 mm/day (30-40 days)
10,Sugar Beet,Root Development,8-10 mm/day (50-60 days)
,,Sugar Accumulation,7-9 mm/day (30-40 days)
,,Maturity,6-8 mm/day (20-30 days)
,,Germination,4-6 mm/day (5-10 days)
,,Vegetative,6-8 mm/day (30-40 days)
11,Peanuts,Pegging,7-9 mm/day (10-20 days)
,,Pod Development,8-10 mm/day (30-40 days)
,,Maturity,6-8 mm/day (15-25 days)
